Timestamp for sample frequency every 15 min,Temperature (°C),Relative Humidity (%),Barometric Pressure (mb)
2024-07-11 12:00:00,34.5525,27.9425,990.49
2024-07-11 12:15:00,35.44,27.5025,990.5099
2024-07-11 12:30:00,36.0775,26.765,990.37
2024-07-11 12:45:00,36.5775,25.875,990.12
2024-07-11 13:00:00,37.34,25.3775,989.95
2024-07-11 13:15:00,37.78,24.3725,989.9
2024-07-11 13:30:00,38.39,24.41,989.82
2024-07-11 13:45:00,38.87,23.27,989.63
2024-07-11 14:00:00,39.16,24.9175,989.37
2024-07-11 14:15:00,39.995,23.6625,989.3
2024-07-11 14:30:00,40.195,24.41,989.19
2024-07-11 14:45:00,40.52,25.2275,989.13
2024-07-11 15:00:00,40.665,24.915,989.1
2024-07-11 15:15:00,40.8,25.0075,988.96
2024-07-11 15:30:00,40.8875,25.755,988.74
2024-07-11 15:45:00,40.9675,25.07,988.64
2024-07-11 16:00:00,41.1025,24.355,988.55
2024-07-11 16:15:00,41.4725,24.105,988.38
2024-07-11 16:30:00,41.87,22.4875,988.32
2024-07-11 16:45:00,41.915,21.0225,988.24
2024-07-11 17:00:00,41.8275,19.84,988.31
2024-07-11 17:15:00,41.8425,21.74,988.12
2024-07-11 17:30:00,41.23,22.4,988.04
2024-07-11 17:45:00,40.99,21.955,988.15
2024-07-11 18:00:00,40.2925,21.885,988.27
2024-07-11 18:15:00,39.7025,21.6475,988.37
2024-07-11 18:30:00,39.1375,21.055,988.43
2024-07-11 18:45:00,38.5375,19.74,988.48
2024-07-11 19:00:00,38.1025,19.7675,988.65
2024-07-11 19:15:00,37.24,21.0775,988.69
2024-07-11 19:30:00,36.125,21.2425,988.84
2024-07-11 19:45:00,35.5,19.935,989.1
2024-07-11 20:00:00,35.0225,19.185,989.32
2024-07-11 20:15:00,34.965,20.3875,989.35
2024-07-11 20:30:00,15.0875,19.3075,989.59
2024-07-11 20:45:00,31.755,24.7,989.49
2024-07-11 21:00:00,32.8175,24.98,989.63
2024-07-11 21:15:00,32.7675,25.745,989.7
2024-07-11 21:30:00,32.115,26.05,989.91
2024-07-11 21:45:00,31.42,27.7,990.09
2024-07-11 22:00:00,30.8625,28.57,990.2
2024-07-11 22:15:00,30.8,27.4825,990.07
2024-07-11 22:30:00,30.6725,26.3425,990.14
2024-07-11 22:45:00,29.9675,27.75,990.1
2024-07-11 23:00:00,29.575,28.8475,990.11
