Timestamp for sample frequency every 15 min,Temperature (°C),Relative Humidity (%)
2024-07-21 17:48:00,27.7,43.2875
2024-07-21 18:03:00,27.63,43.795
2024-07-21 18:18:00,27.6825,43.195
2024-07-21 18:33:00,27.105,44.225
2024-07-21 18:48:00,26.695,45.3025
2024-07-21 19:03:00,26.4925,45.9625
2024-07-21 19:18:00,25.6975,47.5225
2024-07-21 19:33:00,24.775,48.9225
2024-07-21 19:48:00,23.8325,50.855
2024-07-21 20:03:00,23.1825,52.385
2024-07-21 20:18:00,22.7925,53.5225
2024-07-21 20:33:00,22.1225,55.0775
2024-07-21 20:48:00,21.7075,56.42
2024-07-21 21:03:00,20.9925,58.405
2024-07-21 21:18:00,20.725,59.4625
2024-07-21 21:33:00,20.5675,60.2775
2024-07-21 21:48:00,20.195,61.005
2024-07-21 22:03:00,19.8325,61.875
2024-07-21 22:18:00,19.62,62.93
2024-07-21 22:33:00,19.3325,63.8525
2024-07-21 22:48:00,19.3525,63.8475
2024-07-21 23:03:00,19.085,64.7225
2024-07-21 23:18:00,18.7975,65.6925
2024-07-21 23:33:00,18.5175,66.9325
2024-07-21 23:48:00,18.4775,67.2275
2024-07-22 00:03:00,18.2575,68.6975
2024-07-22 00:18:00,18.125,69.3825
2024-07-22 00:33:00,17.85,70.465
2024-07-22 00:48:00,17.7125,71.1275
2024-07-22 01:03:00,17.5425,71.91
2024-07-22 01:18:00,17.365,72.9075
2024-07-22 01:33:00,17.4225,72.8625
2024-07-22 01:48:00,17.0975,74.09
2024-07-22 02:03:00,17.0225,74.715
2024-07-22 02:18:00,16.895,75.0175
2024-07-22 02:33:00,16.7225,75.8675
2024-07-22 02:48:00,16.8375,75.635
2024-07-22 03:03:00,16.64,76.41
2024-07-22 03:18:00,16.5175,76.5675
2024-07-22 03:33:00,16.3,77.655
2024-07-22 03:48:00,16.32,77.7425
2024-07-22 04:03:00,16.325,77.695
2024-07-22 04:18:00,16.2325,77.9475
2024-07-22 04:33:00,16.1725,78.215
2024-07-22 04:48:00,16.195,77.99
2024-07-22 05:03:00,16.09,78.5625
2024-07-22 05:18:00,15.945,78.895
2024-07-22 05:33:00,15.915,78.37
2024-07-22 05:48:00,15.855,77.9825
2024-07-22 06:03:00,15.795,77.37
2024-07-22 06:18:00,15.85,77.75
2024-07-22 06:33:00,16.07,77.2525
2024-07-22 06:48:00,16.5475,76.88
2024-07-22 07:03:00,17.0125,76.4475
2024-07-22 07:18:00,17.5625,75.0325
2024-07-22 07:33:00,17.935,73.7425
2024-07-22 07:48:00,18.2725,72.6825
2024-07-22 08:03:00,19.0,70.7425
2024-07-22 08:18:00,19.695,68.2325
2024-07-22 08:33:00,19.965,67.1125
2024-07-22 08:48:00,20.8325,63.8625
2024-07-22 09:03:00,22.05,60.695
2024-07-22 09:18:00,22.3525,59.13
2024-07-22 09:33:00,23.04,57.1775
2024-07-22 09:48:00,24.265,53.845
2024-07-22 10:03:00,25.265,50.99
2024-07-22 10:18:00,26.2425,49.8425
2024-07-22 10:33:00,26.6075,48.785
2024-07-22 10:48:00,27.46,47.045
2024-07-22 11:03:00,28.09,44.6175
2024-07-22 11:18:00,28.9925,42.5625
2024-07-22 11:33:00,30.105,41.3575
2024-07-22 11:48:00,30.6575,39.955
2024-07-22 12:03:00,31.2675,39.0625
2024-07-22 12:18:00,32.16,38.18
2024-07-22 12:33:00,32.7325,36.8525
2024-07-22 12:48:00,33.265,35.7225
2024-07-22 13:03:00,34.28,32.995
2024-07-22 13:18:00,34.3375,33.5925
2024-07-22 13:33:00,34.815,32.1775
2024-07-22 13:48:00,35.695,30.1575
2024-07-22 14:03:00,36.0675,30.2125
2024-07-22 14:18:00,36.8425,30.27
2024-07-22 14:33:00,36.6,29.28
2024-07-22 14:48:00,37.205,28.3325
2024-07-22 15:03:00,36.9325,27.38
2024-07-22 15:18:00,37.2125,27.0925
2024-07-22 15:33:00,37.07,28.46
2024-07-22 15:48:00,37.36,28.4925
2024-07-22 16:03:00,37.2975,29.325
2024-07-22 16:18:00,37.33,28.12
2024-07-22 16:33:00,37.14,28.59
2024-07-22 16:48:00,36.9175,27.5625
2024-07-22 17:03:00,36.56,28.0725
2024-07-22 17:18:00,36.3625,28.3625
2024-07-22 17:33:00,36.135,28.765
2024-07-22 17:48:00,36.18,28.61
2024-07-22 18:03:00,36.1275,27.9025
2024-07-22 18:18:00,35.32,29.745
2024-07-22 18:33:00,34.63,29.5625
2024-07-22 18:48:00,34.1625,31.2225
2024-07-22 19:03:00,33.885,31.8975
2024-07-22 19:18:00,32.955,31.765
2024-07-22 19:33:00,32.28,31.56
2024-07-22 19:48:00,31.6475,31.875
2024-07-22 20:03:00,31.31,32.0775
2024-07-22 20:18:00,30.7825,29.91
2024-07-22 20:33:00,30.1225,28.425
2024-07-22 20:48:00,29.6325,28.405
2024-07-22 21:03:00,29.26,29.325
2024-07-22 21:18:00,28.6875,31.055
2024-07-22 21:33:00,27.5575,36.11
2024-07-22 21:48:00,26.925,37.14
2024-07-22 22:03:00,26.4125,38.73
2024-07-22 22:18:00,26.155,39.835
2024-07-22 22:33:00,25.9675,40.68
2024-07-22 22:48:00,25.4525,41.955
2024-07-22 23:03:00,25.1675,43.335
2024-07-22 23:18:00,25.26,42.9025
2024-07-22 23:33:00,25.075,43.7875
2024-07-22 23:48:00,24.66,45.2825
2024-07-23 00:03:00,24.2975,47.585
2024-07-23 00:18:00,23.945,48.9325
2024-07-23 00:33:00,23.7975,51.095
2024-07-23 00:48:00,23.61,50.48
2024-07-23 01:03:00,23.0225,51.4125
2024-07-23 01:18:00,23.1275,55.125
2024-07-23 01:33:00,23.0125,55.7325
2024-07-23 01:48:00,22.9525,55.2325
2024-07-23 02:03:00,22.685,55.5325
2024-07-23 02:18:00,22.375,56.3975
2024-07-23 02:33:00,22.025,55.1
2024-07-23 02:48:00,21.9575,55.805
2024-07-23 03:03:00,22.0975,56.0575
2024-07-23 03:18:00,21.735,54.425
2024-07-23 03:33:00,21.25,54.525
2024-07-23 03:48:00,21.045,53.9
2024-07-23 04:03:00,20.885,53.2925
2024-07-23 04:18:00,20.6125,53.2975
2024-07-23 04:33:00,20.545,54.265
2024-07-23 04:48:00,20.405,55.7925
2024-07-23 05:03:00,20.2925,55.5575
2024-07-23 05:18:00,20.3925,55.0875
2024-07-23 05:33:00,20.39,55.1325
2024-07-23 05:48:00,20.185,56.4675
2024-07-23 06:03:00,20.01,56.9225
2024-07-23 06:18:00,19.9975,56.0725
2024-07-23 06:33:00,20.14,56.8475
2024-07-23 06:48:00,20.4375,55.8725
2024-07-23 07:03:00,20.8375,54.515
2024-07-23 07:18:00,21.58,54.305
2024-07-23 07:33:00,22.4625,53.74
2024-07-23 07:48:00,23.3525,51.0275
2024-07-23 08:03:00,24.105,49.6425
2024-07-23 08:18:00,24.8475,48.3575
2024-07-23 08:33:00,25.865,46.5875
2024-07-23 08:48:00,26.8075,43.015
2024-07-23 09:03:00,27.6475,41.85
2024-07-23 09:18:00,28.5875,40.2525
2024-07-23 09:33:00,29.1975,40.8225
