Timestamp for sample frequency every 15 min,Temperature (°C)
2024-07-20 17:50:00,27.0475
2024-07-20 18:05:00,27.165
2024-07-20 18:20:00,27.1175
2024-07-20 18:35:00,26.9375
2024-07-20 18:50:00,26.75
2024-07-20 19:05:00,26.5625
2024-07-20 19:20:00,26.375
2024-07-20 19:35:00,26.08
2024-07-20 19:50:00,26.07
2024-07-20 20:05:00,26.0975
2024-07-20 20:20:00,26.0175
2024-07-20 20:35:00,25.9025
2024-07-20 20:50:00,25.655
2024-07-20 21:05:00,25.4625
2024-07-20 21:20:00,25.285
2024-07-20 21:35:00,24.86
2024-07-20 21:50:00,24.3875
2024-07-20 22:05:00,24.015
2024-07-20 22:20:00,23.7475
2024-07-20 22:35:00,23.495
2024-07-20 22:50:00,23.31
2024-07-20 23:05:00,23.245
2024-07-20 23:20:00,23.2025
2024-07-20 23:35:00,23.1675
2024-07-20 23:50:00,23.0275
2024-07-21 00:05:00,22.8725
2024-07-21 00:20:00,22.775
2024-07-21 00:35:00,22.6825
2024-07-21 00:50:00,22.6325
2024-07-21 01:05:00,22.545
2024-07-21 01:20:00,22.44
2024-07-21 01:35:00,22.3025
2024-07-21 01:50:00,22.1775
2024-07-21 02:05:00,21.9375
2024-07-21 02:20:00,21.7875
2024-07-21 02:35:00,21.5975
2024-07-21 02:50:00,21.4775
2024-07-21 03:05:00,21.3225
2024-07-21 03:20:00,21.185
2024-07-21 03:35:00,21.1175
2024-07-21 03:50:00,20.9975
2024-07-21 04:05:00,20.895
2024-07-21 04:20:00,20.7775
2024-07-21 04:35:00,20.7375
2024-07-21 04:50:00,20.6975
2024-07-21 05:05:00,20.645
2024-07-21 05:20:00,20.635
2024-07-21 05:35:00,20.525
2024-07-21 05:50:00,20.475
2024-07-21 06:05:00,20.415
2024-07-21 06:20:00,20.3675
2024-07-21 06:35:00,20.31
2024-07-21 06:50:00,20.26
2024-07-21 07:05:00,20.275
2024-07-21 07:20:00,20.2825
2024-07-21 07:35:00,20.2725
2024-07-21 07:50:00,20.3125
2024-07-21 08:05:00,20.35
2024-07-21 08:20:00,20.4675
2024-07-21 08:35:00,20.54
2024-07-21 08:50:00,20.64
2024-07-21 09:05:00,20.635
2024-07-21 09:20:00,20.5925
2024-07-21 09:35:00,20.69
2024-07-21 09:50:00,20.6275
2024-07-21 10:05:00,20.425
2024-07-21 10:20:00,20.24
2024-07-21 10:35:00,20.315
2024-07-21 10:50:00,20.565
2024-07-21 11:05:00,20.795
2024-07-21 11:20:00,21.045
2024-07-21 11:35:00,21.2925
2024-07-21 11:50:00,21.4725
2024-07-21 12:05:00,21.6475
2024-07-21 12:20:00,21.815
2024-07-21 12:35:00,21.945
2024-07-21 12:50:00,22.0925
2024-07-21 13:05:00,22.205
2024-07-21 13:20:00,22.3325
2024-07-21 13:35:00,22.5
2024-07-21 13:50:00,22.7175
2024-07-21 14:05:00,22.6325
2024-07-21 14:20:00,22.545
2024-07-21 14:35:00,22.5275
2024-07-21 14:50:00,22.7325
2024-07-21 15:05:00,22.915
2024-07-21 15:20:00,23.1275
2024-07-21 15:35:00,23.3025
2024-07-21 15:50:00,23.535
2024-07-21 16:05:00,23.79
2024-07-21 16:20:00,23.9725
2024-07-21 16:35:00,24.0975
2024-07-21 16:50:00,24.255
2024-07-21 17:05:00,24.4375
2024-07-21 17:20:00,24.6175
2024-07-21 17:35:00,24.8025
2024-07-21 17:50:00,25.0075
2024-07-21 18:05:00,25.0075
2024-07-21 18:20:00,24.6925
2024-07-21 18:35:00,24.385
2024-07-21 18:50:00,24.345
2024-07-21 19:05:00,24.49
2024-07-21 19:20:00,24.6175
2024-07-21 19:35:00,24.7275
2024-07-21 19:50:00,24.7625
2024-07-21 20:05:00,24.7775
2024-07-21 20:20:00,24.7575
2024-07-21 20:35:00,24.6575
2024-07-21 20:50:00,24.3625
2024-07-21 21:05:00,24.35
2024-07-21 21:20:00,24.4
2024-07-21 21:35:00,24.435
2024-07-21 21:50:00,24.4475
2024-07-21 22:05:00,24.4375
2024-07-21 22:20:00,24.405
2024-07-21 22:35:00,24.4125
2024-07-21 22:50:00,24.35
