Timestamp,Temperature (°C),Relative Humidity (%),Dewpoint (°C),VPD (kPa)
2024-06-29 22:10,23.1725,46.575,11.0975,1.5077
2024-06-29 22:11,22.955,47.2475,11.1154,1.4693
2024-06-29 22:12,22.7525,47.5925,11.0402,1.442
2024-06-29 22:13,22.6425,47.95,11.0525,1.4226
2024-06-29 22:14,22.5725,47.94,10.9853,1.4169
2024-06-29 22:15,22.4425,48.24,10.9604,1.3977
2024-06-29 22:16,22.3375,48.32,10.8892,1.3867
2024-06-29 22:17,22.3275,48.805,11.0306,1.3729
2024-06-29 22:18,22.2425,48.405,10.8287,1.3765
2024-06-29 22:19,22.2075,48.5,10.8261,1.371
2024-06-29 22:20,22.0925,49.805,11.1208,1.327
2024-06-29 22:21,21.955,49.065,10.769,1.3354
2024-06-29 22:22,21.895,49.665,10.8969,1.3148
2024-06-29 22:23,21.85,49.665,10.8555,1.3112
2024-06-29 22:24,21.79,49.6125,10.7845,1.3078
2024-06-29 22:25,21.7625,49.7575,10.8032,1.3019
2024-06-29 22:26,21.7575,49.6525,10.7668,1.3042
2024-06-29 22:27,21.75,49.575,10.7364,1.3056
2024-06-29 22:28,21.7425,49.8525,10.8135,1.2978
2024-06-29 22:29,21.7,50.095,10.8475,1.2882
2024-06-29 22:30,21.6775,49.99,10.7952,1.2892
2024-06-29 22:31,21.63,50.1675,10.8048,1.2809
2024-06-29 22:32,21.6025,50.335,10.8297,1.2744
2024-06-29 22:33,21.58,50.5375,10.8695,1.2675
2024-06-29 22:34,21.5375,50.4975,10.8184,1.2652
2024-06-29 22:35,21.5075,50.3775,10.755,1.266
2024-06-29 22:36,21.4775,50.565,10.7833,1.2589
2024-06-29 22:37,21.44,50.605,10.7606,1.255
2024-06-29 22:38,21.3975,50.6875,10.746,1.2497
2024-06-29 22:39,21.3725,50.7375,10.7378,1.2465
2024-06-29 22:40,21.35,50.8675,10.7556,1.2415
2024-06-29 22:41,21.305,51.5825,10.9242,1.2201
2024-06-29 22:42,21.2375,51.5425,10.8502,1.2161
2024-06-29 22:43,21.1975,51.7125,10.8629,1.2088
2024-06-29 22:44,21.16,51.665,10.8144,1.2073
2024-06-29 22:45,21.1325,51.71,10.8022,1.2041
2024-06-29 22:46,21.1225,51.67,10.7813,1.2044
2024-06-29 22:47,21.0975,52.0675,10.8736,1.1926
2024-06-29 22:48,21.0575,51.52,10.6775,1.2033
2024-06-29 22:49,21.0475,51.8775,10.7723,1.1937
2024-06-29 22:50,21.0475,52.0,10.8078,1.1907
2024-06-29 22:51,21.015,52.055,10.7937,1.1869
2024-06-29 22:52,21.015,52.0225,10.7843,1.1878
2024-06-29 22:53,21.0025,52.2025,10.8247,1.1824
2024-06-29 22:54,20.975,53.02,11.0334,1.1602
2024-06-29 22:55,20.94,52.7825,10.9333,1.1636
2024-06-29 22:56,20.9075,52.9825,10.9602,1.1564
2024-06-29 22:57,20.875,52.59,10.8181,1.1637
2024-06-29 22:58,20.8625,52.705,10.8395,1.16
2024-06-29 22:59,20.845,52.4775,10.7582,1.1643
2024-06-29 23:00,20.8325,54.4075,11.2911,1.1162
2024-06-29 23:01,20.8025,53.0325,10.8772,1.1477
2024-06-29 23:02,20.795,52.98,10.8553,1.1485
2024-06-29 23:03,20.84,52.87,10.8657,1.1543
2024-06-29 23:04,20.8075,52.9475,10.8577,1.1501
2024-06-29 23:05,20.8075,52.6775,10.7807,1.1567
2024-06-29 23:06,20.8225,52.775,10.8224,1.1554
2024-06-29 23:07,20.895,51.765,10.5988,1.1854
2024-06-29 23:08,20.9575,52.5675,10.888,1.1701
2024-06-29 23:09,20.9675,52.6975,10.9345,1.1676
2024-06-29 23:10,20.9725,52.0575,10.7551,1.1838
2024-06-29 23:11,21.01,52.2225,10.8374,1.1824
2024-06-29 23:12,20.9725,52.0775,10.7609,1.1833
2024-06-29 23:13,20.9875,51.785,10.6901,1.1916
2024-06-29 23:14,20.975,51.92,10.7177,1.1874
2024-06-29 23:15,20.9775,52.17,10.7923,1.1814
2024-06-29 23:16,20.9225,51.7525,10.6206,1.1877
2024-06-29 23:17,20.9375,51.63,10.5988,1.1918
2024-06-29 23:18,20.945,51.5425,10.5803,1.1945
2024-06-29 23:19,20.8925,51.705,10.5791,1.1867
2024-06-29 23:20,20.8575,51.7225,10.5519,1.1837
2024-06-29 23:21,20.8125,51.675,10.4965,1.1816
2024-06-29 23:22,20.815,51.785,10.5307,1.1791
2024-06-29 23:23,20.7975,51.845,10.532,1.1764
2024-06-29 23:24,20.775,51.9425,10.5394,1.1724
2024-06-29 23:25,20.75,51.925,10.5112,1.171
2024-06-29 23:26,20.7325,52.295,10.6017,1.1607
2024-06-29 23:27,20.72,52.3,10.5916,1.1597
2024-06-29 23:28,20.68,52.3,10.5546,1.1569
2024-06-29 23:29,20.6575,52.4325,10.5718,1.1521
2024-06-29 23:30,20.6425,52.5325,10.5866,1.1486
2024-06-29 23:31,20.61,52.71,10.6072,1.142
