rtcDate,rtcTime,gps_Date,gps_Time,gps_Lat,gps_Long,gps_Alt,gps_SIV,gps_FixType,gps_GroundSpeed,gps_Heading,gps_pDOP,humidity_%,degC,

08/06/2024,21:43:43.61,08/07/2024,04:43:41.000,376652782,-1217631021,119120,0,0,0,0,9999,31.83,26.06,

08/06/2024,21:43:44.61,08/07/2024,04:43:42.000,376652782,-1217631021,119120,0,0,0,0,9999,31.81,26.19,

08/06/2024,21:43:45.61,08/07/2024,04:43:43.000,376652782,-1217631021,119120,0,0,0,0,9999,31.82,26.09,

08/06/2024,21:43:46.61,08/07/2024,04:43:44.000,376652782,-1217631021,119120,0,0,0,0,9999,31.80,26.07,

08/06/2024,21:43:47.61,08/07/2024,04:43:45.000,376652782,-1217631021,119120,0,0,0,0,9999,31.72,26.04,

08/06/2024,21:43:48.61,08/07/2024,04:43:46.000,376652782,-1217631021,119120,0,0,0,0,9999,31.58,26.07,

08/06/2024,21:43:49.61,08/07/2024,04:43:47.000,376652782,-1217631021,119120,0,0,0,0,9999,31.65,26.05,

08/06/2024,21:43:50.61,08/07/2024,04:43:48.000,376652782,-1217631021,119120,0,0,0,0,9999,31.48,25.98,

08/06/2024,21:43:51.61,08/07/2024,04:43:49.000,376652782,-1217631021,119120,0,0,0,0,9999,31.45,25.97,

08/06/2024,21:43:52.61,08/07/2024,04:43:50.000,376652782,-1217631021,119120,0,0,0,0,9999,31.50,26.13,

08/06/2024,21:43:53.61,08/07/2024,04:43:51.000,376652782,-1217631021,119120,0,0,0,0,9999,31.49,25.95,

08/06/2024,21:43:54.61,08/07/2024,04:43:52.000,376652782,-1217631021,119120,0,0,0,0,9999,31.62,26.07,

08/06/2024,21:43:55.61,08/07/2024,04:43:53.000,376652782,-1217631021,119120,0,0,0,0,9999,31.47,26.16,

08/06/2024,21:43:56.61,08/07/2024,04:43:54.000,376652782,-1217631021,119120,0,0,0,0,9999,31.58,26.10,

08/06/2024,21:43:57.61,08/07/2024,04:43:55.000,376652782,-1217631021,119120,0,0,0,0,9999,31.64,26.07,

08/06/2024,21:43:58.61,08/07/2024,04:43:56.000,376652782,-1217631021,119120,0,0,0,0,9999,31.49,26.00,

08/06/2024,21:43:59.61,08/07/2024,04:43:57.000,376652782,-1217631021,119120,0,0,0,0,9999,31.38,25.95,

08/06/2024,21:44:00.61,08/07/2024,04:43:58.000,376652782,-1217631021,119120,0,0,0,0,9999,31.65,26.03,

08/06/2024,21:44:01.61,08/07/2024,04:43:59.000,376652782,-1217631021,119120,0,0,0,0,9999,31.61,26.06,

08/06/2024,21:44:02.61,08/07/2024,04:44:00.000,376652782,-1217631021,119120,0,0,0,0,9999,31.78,26.13,

08/06/2024,21:44:03.61,08/07/2024,04:44:01.000,376652782,-1217631021,119120,0,0,0,0,9999,31.51,26.14,

08/06/2024,21:44:04.61,08/07/2024,04:44:02.000,376652782,-1217631021,119120,0,0,0,0,9999,31.66,26.02,

08/06/2024,21:44:05.61,08/07/2024,04:44:03.000,376652782,-1217631021,119120,0,0,0,0,9999,31.68,26.08,

08/06/2024,21:44:06.61,08/07/2024,04:44:04.000,376652782,-1217631021,119120,0,0,0,0,9999,31.66,26.13,

08/06/2024,21:44:07.61,08/07/2024,04:44:05.000,376652782,-1217631021,119120,0,0,0,0,9999,31.76,26.16,

08/06/2024,21:44:08.61,08/07/2024,04:44:06.000,376652782,-1217631021,119120,0,0,0,0,9999,31.69,26.11,

08/06/2024,21:44:09.61,08/07/2024,04:44:07.000,376652782,-1217631021,119120,0,0,0,0,9999,31.93,26.07,

08/06/2024,21:44:10.61,08/07/2024,04:44:08.000,376652782,-1217631021,119120,0,0,0,0,9999,31.72,25.95,

08/06/2024,21:44:11.61,08/07/2024,04:44:09.000,376652782,-1217631021,119120,0,0,0,0,9999,31.62,26.13,

08/06/2024,21:44:12.61,08/07/2024,04:44:10.000,376652782,-1217631021,119120,0,0,0,0,9999,31.64,25.95,

08/06/2024,21:44:13.61,08/07/2024,04:44:11.000,376652782,-1217631021,119120,0,0,0,0,9999,31.77,26.09,

08/06/2024,21:44:14.61,08/07/2024,04:44:12.000,376652782,-1217631021,119120,0,0,0,0,9999,31.52,26.13,

08/06/2024,21:44:15.61,08/07/2024,04:44:13.000,376652782,-1217631021,119120,0,0,0,0,9999,31.64,26.07,

08/06/2024,21:44:16.61,08/07/2024,04:44:14.000,376652782,-1217631021,119120,0,0,0,0,9999,31.67,26.09,

08/06/2024,21:44:17.61,08/07/2024,04:44:15.000,376652782,-1217631021,119120,0,0,0,0,9999,31.59,26.00,

08/06/2024,21:44:18.61,08/07/2024,04:44:16.000,376652782,-1217631021,119120,0,0,0,0,9999,32.06,26.17,

08/06/2024,21:44:19.61,08/07/2024,04:44:17.000,376652782,-1217631021,119120,0,0,0,0,9999,32.33,26.09,

08/06/2024,21:44:20.61,08/07/2024,04:44:18.000,376652782,-1217631021,119120,0,0,0,0,9999,32.63,26.14,

